product_id,brand_name,cases_per_pallet,gross_weight,low_fat,net_weight,product_class_id,product_name,recyclable_package,shelf_depth,shelf_height,shelf_width,sku,srp,units_per_case
134,Denny,7,6.83,0,4.82,56,Denny Plastic Spoons,1,19.3,12.6,18.8,34472458958,2.4300,18
135,Denny,6,7.74,0,4.73,56,Denny Plastic Knives,0,14,14.9,3.51,24859260916,3.8900,6
136,Denny,10,17.4,0,15.3,101,Denny C-Size Batteries,0,11,7.86,9.7,94438348412,3.8700,33
137,Denny,11,13.3,0,11.3,80,Denny 100 Watt Lightbulb,1,22.3,22,9.01,54062916636,3.7000,13
138,Denny,13,12.3,0,10.3,101,Denny AAA-Size Batteries,1,12.5,7.58,16.3,26781900525,2.7000,7
139,Denny,10,21.1,0,19.1,55,Denny Paper Plates,0,19.7,4.85,18.5,21742104887,1.7900,16
140,Denny,10,6.03,0,4.03,55,Denny Paper Cups,0,14.5,7.13,3.14,53698855042,1.8200,4
141,Denny,8,15.7,0,13.6,80,Denny 75 Watt Lightbulb,1,11.5,20,9.33,96679784655,3.9300,2
142,Denny,5,8.48,0,6.47,22,Denny Toilet Bowl Cleaner,0,18.7,17.2,11.4,97874301075,2.3200,11
143,Denny,8,9.39,0,7.39,22,Denny Counter Cleaner,0,13.4,19.5,16,31310037970,2.4600,5
144,Denny,7,20.3,0,18.2,22,Denny Glass Cleaner,1,9.96,12.6,22.2,67840190529,0.5100,2
145,Denny,6,21.2,0,20.2,80,Denny 25 Watt Lightbulb,0,4.67,14.9,6.82,84415823817,2.2700,25
146,Denny,12,14,0,12,101,Denny AA-Size Batteries,1,11.9,12.1,8.95,90183742642,3.8300,35
147,Denny,10,13,0,12,101,Denny D-Size Batteries,1,7.24,3.22,5.44,52095012068,0.6400,29
148,Denny,9,8.94,0,6.93,18,Denny Paper Towels,1,18.5,17.3,4.75,27100697159,3.9500,17
149,Denny,6,17.6,0,16.6,18,Denny Soft Napkins,1,5.81,14.6,6.87,48249732851,2.4900,27
150,Denny,14,18.6,0,16.6,18,Denny Scented Tissue,1,20.5,16.9,11.4,45905964970,3.4500,15
151,Denny,13,12.3,0,10.3,18,Denny Toilet Paper,1,17.5,9.81,17.6,36292766928,2.9100,12
152,Denny,13,17.2,0,15.2,18,Denny Tissues,1,6.38,6.55,19.9,15871854424,2.8900,31
153,Denny,12,18.1,0,17.1,18,Denny Scented Toilet Tissue,0,21,8.83,4.6,96475121378,2.7200,19
154,Denny,11,16.8,0,13.7,20,Denny Room Freshener,1,21.5,9.84,16.1,69194105267,1.9600,16
155,Denny,8,20.6,0,18.6,40,Denny Frying Pan,1,5.37,18.9,12.9,64154309630,3.8100,26
156,Denny,11,21.5,0,19.5,87,Denny Copper Cleaner,0,20,21.2,17.5,96111059784,0.5500,20
157,Denny,9,20.2,0,18.2,47,Denny Bees Wax Candles,1,20.5,22.2,9.04,60309030413,2.9500,18
158,Denny,8,21.1,0,18.1,87,Denny Silver Cleaner,0,15.2,4.56,13.6,37601416707,1.5800,5
159,Denny,5,10.1,0,8.1,86,Denny Copper Pot Scrubber,0,18.5,13.8,10.4,84939283728,1.7100,14
160,Denny,9,9.18,0,7.18,85,Denny Economy Toilet Brush,0,13.8,4.92,6.91,31469436287,2.1300,3
161,Denny,11,10,0,8,41,Denny Scissors,1,8.55,7.21,11.5,24142939448,1.5200,32
162,Denny,8,13.8,0,10.8,42,Denny Large Sponge,1,12.4,16.3,8.34,18693817257,2.8500,6
163,Denny,7,14.7,0,11.6,41,Denny Screw Driver,0,7.11,18.6,12.9,94507216811,2.3800,4
164,Ship Shape,6,13.4,1,11.3,65,Ship Shape Extra Lean Hamburger,1,7.53,19.6,4.46,69512901902,2.9700,27
165,Ship Shape,10,8.26,0,6.26,65,Ship Shape Seasoned Hamburger,0,16,3.99,9.36,90661937594,1.7500,31
166,Robust,6,11.2,0,10.1,104,Robust Monthly Sports Magazine,1,14.4,18.9,6.67,11003258824,2.4700,31
167,Robust,11,14.4,0,13.3,108,Robust Monthly Auto Magazine,0,18.3,5.88,13.8,91390060782,0.6000,6
168,Robust,11,10.4,0,8.39,107,Robust Monthly Computer Magazine,0,9.67,8.92,11.6,94871278405,1.2600,23
169,Robust,11,19.5,0,17.5,105,Robust Monthly Home Magazine,1,11.8,5.11,17.2,54495846629,1.9800,29
170,Robust,9,9.56,0,8.56,106,Robust Monthly Fashion Magazine,0,9.95,4.41,5.74,57929857373,3.2000,23
171,High Top,9,18.7,0,17.7,61,High Top Summer Squash,0,12,20.6,11.3,76792191863,2.9500,30
172,High Top,8,16.1,1,14.1,61,High Top Corn on the Cob,0,4.75,18.4,12.3,18748942017,3.3200,3
173,High Top,13,21.9,0,20.8,61,High Top Asparagus,0,7.34,9.15,22,72946912646,1.4300,13
174,High Top,8,13.4,0,11.3,61,High Top Sweet Peas,1,21.8,21,12.3,50239298939,1.7100,22
175,High Top,8,6.82,1,4.82,61,High Top New Potatos,1,13.2,15.4,13,97577165961,3.8500,16
176,High Top,7,12.1,0,10.1,61,High Top Beets,1,8.42,14.9,10.4,44107318520,2.2700,29
177,High Top,14,10.5,0,8.5,61,High Top Prepared Salad,0,3.3,16.2,5,36780821681,1.6600,19
178,High Top,7,19.5,1,16.5,61,High Top Onions,1,12.3,18.2,20.3,42548740506,1.3300,25
179,High Top,6,19.7,1,18.7,61,High Top Green Pepper,0,21.6,15.1,3.93,83242968916,2.7500,2
180,High Top,9,12.3,0,11.3,61,High Top Shitake Mushrooms,0,10.9,18.2,17.3,34346523880,0.6900,17
181,High Top,5,16.1,1,14.1,61,High Top Lettuce,0,14.5,15.1,16.1,79397689700,0.9300,23
182,High Top,12,9.05,1,6.05,61,High Top Elephant Garlic,0,13.5,6.07,13.2,89739010930,1.8400,11
183,High Top,8,7.06,0,5.05,61,High Top Red Pepper,1,18.6,19.5,4.13,80125812888,2.4100,22
184,High Top,13,20,1,18,61,High Top Garlic,1,6.41,11.8,22.7,83607030510,3.4000,22
185,High Top,12,9.3,0,7.3,61,High Top Potatos,1,4.14,8.03,11.4,43231598734,0.5700,24
186,High Top,7,18.7,0,17.7,61,High Top Cauliflower,0,8.09,13.4,9.53,82048452496,2.2300,20
187,High Top,6,14.8,1,13.8,61,High Top Tomatos,0,3.67,13.4,12.6,10910786986,1.3200,15
188,High Top,8,14.7,1,11.6,61,High Top Mushrooms,1,10.6,19.2,22.3,18965407013,2.5800,14
189,High Top,13,8.51,0,6.51,61,High Top Baby Onion,1,21.8,8.03,5.62,61946336627,3.4500,4
190,High Top,6,18.7,1,17.7,61,High Top Dried Mushrooms,1,5.47,17.9,9.59,39238722920,3.7400,29
191,High Top,7,12.6,0,9.6,61,High Top Fresh Lima Beans,1,16.7,14.4,19.9,86576589941,2.8700,22
192,High Top,7,10.7,1,7.69,61,High Top Squash,0,14.2,15.6,20.3,33106742501,1.5200,4
193,High Top,13,11.8,0,9.8,99,High Top Limes,1,18.3,14.9,8.64,25780245661,3.6800,11
194,High Top,11,11.6,1,8.6,67,High Top Firm Tofu,1,10.2,7.38,18.8,31548164486,3.3600,21
195,High Top,13,8.72,1,6.72,1,High Top Almonds,0,10.4,13,17.6,83459433913,1.7700,24
196,High Top,10,12.1,1,10.1,99,High Top Macintosh Apples,1,16.2,19.1,7.29,58465119004,2.4700,27
197,High Top,7,21.5,1,19.5,99,High Top Golden Delcious Apples,0,17.6,18.9,15.4,79614154696,2.9100,29
198,High Top,13,17.2,1,14.2,99,High Top Red Delcious Apples,1,5.92,7.83,6.26,78738434910,0.9200,27
199,High Top,10,19.2,0,18.2,99,High Top Lemons,1,4.65,4.92,19.8,69125236868,1.6700,33
200,High Top,6,6.74,0,4.73,99,High Top Fancy Plums,0,20.4,17.6,8.38,72606454491,2.6500,12
201,High Top,14,14.7,0,12.6,99,High Top Plums,0,7.33,11.8,10.8,32231022715,2.2500,29
202,High Top,6,11.8,0,8.8,99,High Top Peaches,0,10.1,10.7,6.61,71047876477,1.4900,24
203,High Top,5,8.85,0,5.85,61,High Top Broccoli,1,10.3,12,6.17,89910210967,0.6300,27
204,High Top,7,13.6,0,10.6,99,High Top Mandarin Oranges,0,20.7,17,22.6,97964830994,1.6000,31
205,High Top,5,13.9,0,11.8,1,High Top Mixed Nuts,1,5,11.8,4.96,86064931750,2.7100,9
206,High Top,7,10.9,1,7.89,1,High Top Canned Peanuts,0,17.8,19.6,22.6,50672228932,2.1100,15
207,High Top,14,13.5,1,11.5,61,High Top Sweet Onion,1,11.3,17.8,16,98010095953,1.2400,7
208,High Top,6,13.4,1,10.3,99,High Top Cantelope,1,8.32,21.4,6.06,44540248513,2.4700,23
209,High Top,6,17.3,0,15.2,99,High Top Honey Dew,1,21.4,18.6,7.99,37213751673,1.8700,16
210,High Top,10,17,1,14,99,High Top Fuji Apples,0,13.8,4.23,16.1,42981670498,1.5400,27
211,High Top,7,14.5,0,12.5,1,High Top Walnuts,1,14,12.1,4.6,94892939925,2.7200,1
212,High Top,9,9.78,0,7.77,99,High Top Oranges,0,12.3,4.27,13.1,69898625016,1.6600,14
213,High Top,11,7.22,0,5.21,99,High Top Tangerines,1,7.56,7.71,4.08,91047660708,0.5600,11
214,High Top,13,21.6,1,19.6,1,High Top Party Nuts,1,4.93,14.5,8.56,35291112065,2.8200,18
215,Tip Top,13,14.1,0,11.1,24,Tip Top Lox,1,11.6,12,12.1,80295071005,0.7900,10
216,Tip Top,7,21.3,1,20.2,2,Tip Top Scallops,1,6.31,18.3,18.3,83776288628,3.6000,22
217,Best Choice,13,16,0,14,45,Best Choice Low Fat Cookies,1,22.3,10.5,14.4,19498726725,0.6800,21
218,Best Choice,6,16.2,0,14.2,12,Best Choice BBQ Potato Chips,0,4.03,12,19.8,82217710614,3.4400,13
219,Best Choice,12,20.6,1,18.6,12,Best Choice Corn Chips,1,7.04,14.8,22.4,11080045104,2.5200,15
220,Best Choice,7,12.2,1,10.1,12,Best Choice Low Fat BBQ Chips,0,6.56,17.8,12.5,19134665131,2.5500,7
221,Best Choice,14,15.2,0,13.1,45,Best Choice Sugar Cookies,0,20,10.5,8.6,97234765887,3.6600,36
222,Best Choice,9,15,1,12,45,Best Choice Chocolate Chip Cookies,0,21.9,16.3,19.9,74527152180,3.9500,29
223,Best Choice,6,20.3,0,19.2,45,Best Choice Fudge Cookies,1,4.67,12.5,7.02,97962889075,3.1900,36
224,Best Choice,7,8.24,0,6.23,45,Best Choice Fudge Brownies,0,10.2,14.2,10.6,33276000618,1.7300,32
225,Best Choice,5,19.8,0,16.7,12,Best Choice Potato Chips,0,15.9,17.5,11.5,25949503779,3.8900,7
226,Best Choice,13,10.4,1,7.39,45,Best Choice Lemon Cookies,1,10.7,11.6,18.1,31717422604,0.7600,22
227,Best Choice,9,15.7,1,14.6,45,Best Choice Graham Crackers,0,3.49,5.62,5.65,83628692030,1.9800,12
228,Best Choice,14,8.71,1,6.71,82,Best Choice Cheese Crackers,0,7.58,7.63,22.6,58634377121,0.8200,11
229,Best Choice,10,13.6,0,10.6,54,Best Choice Buttered Popcorn,0,20.4,7.12,7.48,79783412814,2.2300,33
230,Best Choice,12,14.7,1,12.6,54,Best Choice No Salt Popcorn,1,6.97,11.9,5.64,24026864171,1.1900,21
231,Best Choice,11,10,0,8,54,Best Choice Low Fat Popcorn,0,22.8,7.41,22.8,14413666129,2.6500,30
232,Best Choice,9,16.1,0,15.1,83,Best Choice Salsa Dip,0,22.6,3.75,17.4,17894883751,2.6300,16
233,Best Choice,9,18.6,0,16.6,83,Best Choice Avocado Dip,1,11.2,21.9,12.4,98498150706,2.4600,1
234,Best Choice,5,14.4,1,12.3,46,Best Choice Salted Pretzels,0,9.5,17.5,22.1,71217134594,2.7000,17
235,Best Choice,10,11.5,0,8.5,83,Best Choice Cheese Dip,0,14.7,22,7.91,90079469084,3.5500,35
